Year_Month,Card_type,Contract_region,Trip
Jul-2016,Adult,Night Ride 10,7737
Jul-2016,Child/Youth,Night Ride 10,71
Jul-2016,Concession,Night Ride 10,604
Jul-2016,Free Travel,Night Ride 10,7
Jul-2016,Senior/Pensioner,Night Ride 10,292
Jul-2016,Adult,Night Ride 100,618
Jul-2016,Child/Youth,Night Ride 100,14
Jul-2016,Concession,Night Ride 100,57
Jul-2016,Senior/Pensioner,Night Ride 100,29
Jul-2016,Adult,Night Ride 11,5340
Jul-2016,Child/Youth,Night Ride 11,60
Jul-2016,Concession,Night Ride 11,319
Jul-2016,Free Travel,Night Ride 11,1
Jul-2016,Senior/Pensioner,Night Ride 11,334
Jul-2016,Adult,Night Ride 20,502
Jul-2016,Child/Youth,Night Ride 20,5
Jul-2016,Concession,Night Ride 20,71
Jul-2016,Senior/Pensioner,Night Ride 20,42
Jul-2016,Adult,Night Ride 30,4960
Jul-2016,Child/Youth,Night Ride 30,102
Jul-2016,Concession,Night Ride 30,639
Jul-2016,Free Travel,Night Ride 30,21
Jul-2016,Senior/Pensioner,Night Ride 30,634
Jul-2016,Adult,Night Ride 40,5976
Jul-2016,Child/Youth,Night Ride 40,84
Jul-2016,Concession,Night Ride 40,462
Jul-2016,Senior/Pensioner,Night Ride 40,579
Jul-2016,Adult,Night Ride 50,6556
Jul-2016,Child/Youth,Night Ride 50,80
Jul-2016,Concession,Night Ride 50,460
Jul-2016,Senior/Pensioner,Night Ride 50,633
Jul-2016,Adult,Night Ride 60,11446
Jul-2016,Child/Youth,Night Ride 60,89
Jul-2016,Concession,Night Ride 60,511
Jul-2016,Free Travel,Night Ride 60,3
Jul-2016,Senior/Pensioner,Night Ride 60,977
Jul-2016,Adult,Night Ride 61,1313
Jul-2016,Child/Youth,Night Ride 61,13
Jul-2016,Concession,Night Ride 61,168
Jul-2016,Senior/Pensioner,Night Ride 61,100
Jul-2016,Adult,Night Ride 70,5560
Jul-2016,Child/Youth,Night Ride 70,55
Jul-2016,Concession,Night Ride 70,546
Jul-2016,Senior/Pensioner,Night Ride 70,611
Jul-2016,Adult,Night Ride 71,1863
Jul-2016,Child/Youth,Night Ride 71,38
Jul-2016,Concession,Night Ride 71,301
Jul-2016,Senior/Pensioner,Night Ride 71,185
Jul-2016,Adult,Night Ride 80,3652
Jul-2016,Child/Youth,Night Ride 80,98
Jul-2016,Concession,Night Ride 80,509
Jul-2016,Senior/Pensioner,Night Ride 80,289
Jul-2016,Adult,Night Ride 90,4997
Jul-2016,Child/Youth,Night Ride 90,135
Jul-2016,Concession,Night Ride 90,1004
Jul-2016,Senior/Pensioner,Night Ride 90,228
Jul-2016,Adult,Outer Sydney Metro Contract 1,3321
Jul-2016,Child/Youth,Outer Sydney Metro Contract 1,1202
Jul-2016,Concession,Outer Sydney Metro Contract 1,3995
Jul-2016,Free Travel,Outer Sydney Metro Contract 1,164
Jul-2016,School Student,Outer Sydney Metro Contract 1,15491
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 1,6197
Jul-2016,Adult,Outer Sydney Metro Contract 10,51884
Jul-2016,Child/Youth,Outer Sydney Metro Contract 10,14668
Jul-2016,Concession,Outer Sydney Metro Contract 10,46653
Jul-2016,Free Travel,Outer Sydney Metro Contract 10,835
Jul-2016,School Student,Outer Sydney Metro Contract 10,96126
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 10,90518
Jul-2016,Adult,Outer Sydney Metro Contract 11,717
Jul-2016,Child/Youth,Outer Sydney Metro Contract 11,244
Jul-2016,Concession,Outer Sydney Metro Contract 11,503
Jul-2016,Free Travel,Outer Sydney Metro Contract 11,11
Jul-2016,School Student,Outer Sydney Metro Contract 11,3434
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 11,860
Jul-2016,Adult,Outer Sydney Metro Contract 12,12455
Jul-2016,Child/Youth,Outer Sydney Metro Contract 12,2863
Jul-2016,Concession,Outer Sydney Metro Contract 12,5697
Jul-2016,Free Travel,Outer Sydney Metro Contract 12,171
Jul-2016,School Student,Outer Sydney Metro Contract 12,10338
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 12,18338
Jul-2016,Adult,Outer Sydney Metro Contract 2,13604
Jul-2016,Child/Youth,Outer Sydney Metro Contract 2,4639
Jul-2016,Concession,Outer Sydney Metro Contract 2,14488
Jul-2016,Free Travel,Outer Sydney Metro Contract 2,397
Jul-2016,School Student,Outer Sydney Metro Contract 2,68344
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 2,26395
Jul-2016,Adult,Outer Sydney Metro Contract 3,7243
Jul-2016,Child/Youth,Outer Sydney Metro Contract 3,994
Jul-2016,Concession,Outer Sydney Metro Contract 3,5628
Jul-2016,Free Travel,Outer Sydney Metro Contract 3,129
Jul-2016,School Student,Outer Sydney Metro Contract 3,11464
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 3,7850
Jul-2016,Adult,Outer Sydney Metro Contract 4,14356
Jul-2016,Child/Youth,Outer Sydney Metro Contract 4,3347
Jul-2016,Concession,Outer Sydney Metro Contract 4,13257
Jul-2016,Employee,Outer Sydney Metro Contract 4,1
Jul-2016,Free Travel,Outer Sydney Metro Contract 4,122
Jul-2016,School Student,Outer Sydney Metro Contract 4,13590
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 4,24258
Jul-2016,Adult,Outer Sydney Metro Contract 5,102580
Jul-2016,Child/Youth,Outer Sydney Metro Contract 5,15832
Jul-2016,Concession,Outer Sydney Metro Contract 5,66940
Jul-2016,Employee,Outer Sydney Metro Contract 5,3156
Jul-2016,Free Travel,Outer Sydney Metro Contract 5,957
Jul-2016,School Student,Outer Sydney Metro Contract 5,45224
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 5,124570
