Year_Month,Card_type,Line,Trip
Jul-16,Adult,118F Newcastle,18047
Jul-16,Child/Youth,118F Newcastle,1500
Jul-16,Concession,118F Newcastle,5659
Jul-16,Employee,118F Newcastle,407
Jul-16,Free Travel,118F Newcastle,193
Jul-16,School Student,118F Newcastle,566
Jul-16,Senior/Pensioner,118F Newcastle,7318
Jul-16,Adult,F1 Manly,276206
Jul-16,Child/Youth,F1 Manly,33714
Jul-16,Concession,F1 Manly,20538
Jul-16,Employee,F1 Manly,1860
Jul-16,Free Travel,F1 Manly,413
Jul-16,School Student,F1 Manly,164
Jul-16,Senior/Pensioner,F1 Manly,49522
Jul-16,Sgl Trip Ferry Adult,F1 Manly,4992
Jul-16,Sgl Trip Ferry Child/Youth,F1 Manly,1046
Jul-16,Adult,F2 Taronga Zoo,77773
Jul-16,Child/Youth,F2 Taronga Zoo,16818
Jul-16,Concession,F2 Taronga Zoo,6932
Jul-16,Employee,F2 Taronga Zoo,363
Jul-16,Free Travel,F2 Taronga Zoo,80
Jul-16,School Student,F2 Taronga Zoo,14
Jul-16,Senior/Pensioner,F2 Taronga Zoo,9558
Jul-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,637
Jul-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,180
Jul-16,Adult,F3 Parramatta River,182348
Jul-16,Child/Youth,F3 Parramatta River,20306
Jul-16,Concession,F3 Parramatta River,11790
Jul-16,Employee,F3 Parramatta River,921
Jul-16,Free Travel,F3 Parramatta River,285
Jul-16,School Student,F3 Parramatta River,321
Jul-16,Senior/Pensioner,F3 Parramatta River,32052
Jul-16,Sgl Trip Ferry Adult,F3 Parramatta River,1508
Jul-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,463
Jul-16,Adult,F4 Darling Harbour,120187
Jul-16,Child/Youth,F4 Darling Harbour,23001
Jul-16,Concession,F4 Darling Harbour,11381
Jul-16,Employee,F4 Darling Harbour,706
Jul-16,Free Travel,F4 Darling Harbour,158
Jul-16,School Student,F4 Darling Harbour,117
Jul-16,Senior/Pensioner,F4 Darling Harbour,19131
Jul-16,Sgl Trip Ferry Adult,F4 Darling Harbour,1209
Jul-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,386
Jul-16,Adult,F5 Neutral Bay,36787
Jul-16,Child/Youth,F5 Neutral Bay,2056
Jul-16,Concession,F5 Neutral Bay,2860
Jul-16,Employee,F5 Neutral Bay,209
Jul-16,Free Travel,F5 Neutral Bay,30
Jul-16,School Student,F5 Neutral Bay,13
Jul-16,Senior/Pensioner,F5 Neutral Bay,8453
Jul-16,Sgl Trip Ferry Adult,F5 Neutral Bay,406
Jul-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,89
Jul-16,Adult,F6 Mosman Bay,52441
Jul-16,Child/Youth,F6 Mosman Bay,3559
Jul-16,Concession,F6 Mosman Bay,4247
Jul-16,Employee,F6 Mosman Bay,375
Jul-16,Free Travel,F6 Mosman Bay,51
Jul-16,School Student,F6 Mosman Bay,36
Jul-16,Senior/Pensioner,F6 Mosman Bay,11867
Jul-16,Sgl Trip Ferry Adult,F6 Mosman Bay,405
Jul-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,129
Jul-16,Adult,F7 Eastern Suburbs,97483
Jul-16,Child/Youth,F7 Eastern Suburbs,7496
Jul-16,Concession,F7 Eastern Suburbs,7955
Jul-16,Employee,F7 Eastern Suburbs,410
Jul-16,Free Travel,F7 Eastern Suburbs,107
Jul-16,School Student,F7 Eastern Suburbs,64
Jul-16,Senior/Pensioner,F7 Eastern Suburbs,14287
Jul-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,873
Jul-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,254
Aug-16,Adult,118F Newcastle,19815
Aug-16,Child/Youth,118F Newcastle,2625
Aug-16,Concession,118F Newcastle,955
Aug-16,Employee,118F Newcastle,519
Aug-16,Free Travel,118F Newcastle,254
Aug-16,School Student,118F Newcastle,996
Aug-16,Senior/Pensioner,118F Newcastle,8681
Aug-16,Adult,F1 Manly,243181
Aug-16,Child/Youth,F1 Manly,23633
Aug-16,Concession,F1 Manly,10683
Aug-16,Employee,F1 Manly,1513
Aug-16,Free Travel,F1 Manly,513
Aug-16,School Student,F1 Manly,403
Aug-16,Senior/Pensioner,F1 Manly,52013
Aug-16,Sgl Trip Ferry Adult,F1 Manly,20503
Aug-16,Sgl Trip Ferry Child/Youth,F1 Manly,3674
Aug-16,Adult,F2 Taronga Zoo,68776
Aug-16,Child/Youth,F2 Taronga Zoo,13045
Aug-16,Concession,F2 Taronga Zoo,2152
Aug-16,Employee,F2 Taronga Zoo,288
Aug-16,Free Travel,F2 Taronga Zoo,99
Aug-16,School Student,F2 Taronga Zoo,38
Aug-16,Senior/Pensioner,F2 Taronga Zoo,9163
Aug-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,3244
Aug-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,845
Aug-16,Adult,F3 Parramatta River,173613
Aug-16,Child/Youth,F3 Parramatta River,16120
Aug-16,Concession,F3 Parramatta River,3798
Aug-16,Employee,F3 Parramatta River,887
Aug-16,Free Travel,F3 Parramatta River,329
Aug-16,School Student,F3 Parramatta River,775
Aug-16,Senior/Pensioner,F3 Parramatta River,33139
Aug-16,Sgl Trip Ferry Adult,F3 Parramatta River,5990
Aug-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,1375
Aug-16,Adult,F4 Darling Harbour,93808
Aug-16,Child/Youth,F4 Darling Harbour,15568
Aug-16,Concession,F4 Darling Harbour,2274
Aug-16,Employee,F4 Darling Harbour,557
Aug-16,Free Travel,F4 Darling Harbour,193
Aug-16,School Student,F4 Darling Harbour,226
Aug-16,Senior/Pensioner,F4 Darling Harbour,17748
Aug-16,Sgl Trip Ferry Adult,F4 Darling Harbour,6020
Aug-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,1458
Aug-16,Adult,F5 Neutral Bay,32274
Aug-16,Child/Youth,F5 Neutral Bay,1393
Aug-16,Concession,F5 Neutral Bay,977
Aug-16,Employee,F5 Neutral Bay,223
Aug-16,Free Travel,F5 Neutral Bay,54
Aug-16,School Student,F5 Neutral Bay,39
Aug-16,Senior/Pensioner,F5 Neutral Bay,8843
Aug-16,Sgl Trip Ferry Adult,F5 Neutral Bay,776
Aug-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,132
Aug-16,Adult,F6 Mosman Bay,51321
Aug-16,Child/Youth,F6 Mosman Bay,2727
