Year_Month,Card Type,Travel_Mode,Trip
2016 - Jul,Adult,Train,22145198
2016 - Jul,Child/Youth,Train,1107160
2016 - Jul,Concession,Train,2105013
2016 - Jul,Other,Train,264074
2016 - Jul,Free Opal,Train,24395
2016 - Jul,School Opal,Train,511309
2016 - Jul,Gold Opal,Train,2567262
2016 - Jul,Opal Single Ticket,Train,75274
2016 - Jul,Opal Single Ticket,Train,19564
2016 - Aug,Adult,Train,24129963
2016 - Aug,Child/Youth,Train,946988
2016 - Aug,Concession,Train,2656456
2016 - Aug,Other,Train,304666
2016 - Aug,Free Opal,Train,30830
2016 - Aug,School Opal,Train,1125676
2016 - Aug,Gold Opal,Train,2849358
2016 - Aug,Opal Single Ticket,Train,296696
2016 - Aug,Opal Single Ticket,Train,53347
2016 - Sep,Adult,Train,23062165
2016 - Sep,Child/Youth,Train,1094712
2016 - Sep,Concession,Train,2131790
2016 - Sep,Other,Train,302130
2016 - Sep,Free Opal,Train,30292
2016 - Sep,School Opal,Train,833102
2016 - Sep,Gold Opal,Train,2816602
2016 - Sep,t,Train,311066
2016 - Sep,Opal Single Ticket,Train,66493
2016 - Oct,Adult,Train,22608261
2016 - Oct,Child/Youth,Train,1120560
2016 - Oct,Concession,Train,2065326
2016 - Oct,Other,Train,289301
2016 - Oct,Free Opal,Train,30205
2016 - Oct,School Opal,Train,759479
2016 - Oct,Gold Opal,Train,2859632
2016 - Oct,Opal Single Ticket,Train,311836
2016 - Oct,Opal Single Ticket,Train,62233
2016 - Nov,Adult,Train,23867512
2016 - Nov,Child/Youth,Train,1036526
2016 - Nov,Concession,Train,1707681
2016 - Nov,Other,Train,318627
2016 - Nov,Free Opal,Train,33096
2016 - Nov,School Opal,Train,1013962
2016 - Nov,Gold Opal,Train,2969184
2016 - Nov,Opal Single Ticket,Train,320085
2016 - Nov,Opal Single Ticket,Train,51606
2016 - Dec,Adult,Train,21532401
2016 - Dec,Child/Youth,Train,1353758
2016 - Dec,Concession,Train,1361789
2016 - Dec,Other,Train,285847
2016 - Dec,Free Opal,Train,29099
2016 - Dec,School Opal,Train,404194
2016 - Dec,Gold Opal,Train,2773808
2016 - Dec,Opal Single Ticket,Train,362922
2016 - Dec,Opal Single Ticket,Train,85766
2017 - Jan,Adult,Train,20689527
2017 - Jan,Child/Youth,Train,1485300
2017 - Jan,Concession,Train,1255327
2017 - Jan,Other,Train,259349
2017 - Jan,Free Opal,Train,26745
2017 - Jan,School Opal,Train,67891
2017 - Jan,Gold Opal,Train,2566223
2017 - Jan,Opal Single Ticket,Train,299852
2017 - Jan,Opal Single Ticket,Train,85208
2017 - Feb,Adult,Train,21960594
2017 - Feb,Child/Youth,Train,977309
2017 - Feb,Concession,Train,1527275
2017 - Feb,Other,Train,287362
2017 - Feb,Free Opal,Train,30092
2017 - Feb,School Opal,Train,1028738
2017 - Feb,Gold Opal,Train,2620981
2017 - Feb,Opal Single Ticket,Train,288914
2017 - Feb,Opal Single Ticket,Train,45771
2017 - Mar,Adult,Train,25670277
2017 - Mar,Child/Youth,Train,1061092
2017 - Mar,Concession,Train,2874972
2017 - Mar,Other,Train,331728
2017 - Mar,Free Opal,Train,34502
2017 - Mar,School Opal,Train,1236042
2017 - Mar,Gold Opal,Train,2983728
2017 - Mar,Opal Single Ticket,Train,320440
2017 - Mar,Opal Single Ticket,Train,53604
2017 - Apr,Adult,Train,21558784
2017 - Apr,Child/Youth,Train,1333722
2017 - Apr,Concession,Train,2080422
2017 - Apr,Other,Train,260847
2017 - Apr,Free Opal,Train,29582
2017 - Apr,School Opal,Train,427515
2017 - Apr,Gold Opal,Train,2679990
2017 - Apr,Opal Single Ticket,Train,298912
2017 - Apr,Opal Single Ticket,Train,75955
2017 - May,Adult,Train,26157005
2017 - May,Child/Youth,Train,952898
2017 - May,Concession,Train,2727746
2017 - May,Other,Train,332707
2017 - May,Free Opal,Train,35442
2017 - May,School Opal,Train,1272946
2017 - May,Gold Opal,Train,3039985
2017 - May,Opal Single Ticket,Train,293744
2017 - May,Opal Single Ticket,Train,50537
2017 - Jun,Adult,Train,24096554
2017 - Jun,Child/Youth,Train,1076221
2017 - Jun,Concession,Train,1944290
2017 - Jun,Other,Train,308301
2017 - Jun,Free Opal,Train,31954
2017 - Jun,School Opal,Train,1054982
2017 - Jun,Gold Opal,Train,2840831
2017 - Jun,Opal Single Ticket,Train,293213
2017 - Jun,Opal Single Ticket,Train,60524
2017 - Jul,Adult,Train,23827242
2017 - Jul,Child/Youth,Train,1407616
2017 - Jul,Concession,Train,1719629
2017 - Jul,Other,Train,294034
2017 - Jul,Free Opal,Train,32228
2017 - Jul,School Opal,Train,562500
2017 - Jul,Gold Opal,Train,2804836
2017 - Jul,Opal Single Ticket,Train,330262
2017 - Jul,Opal Single Ticket,Train,92187
2017 - Aug,Adult,Train,25596844
2017 - Aug,Child/Youth,Train,983919
2017 - Aug,Concession,Train,2822581
2017 - Aug,Day Pass Ticket,Train,9
2017 - Aug,Day Pass Ticket,Train,18
2017 - Aug,Other,Train,316870
2017 - Aug,Free Opal,Train,34768
2017 - Aug,School Opal,Train,1234164
2017 - Aug,Gold Opal,Train,2902953
2017 - Aug,Opal Single Ticket,Train,329921
2017 - Aug,Opal Single Ticket,Train,63560
2017 - Sep,Adult,Train,24295203
2017 - Sep,Child/Youth,Train,1219264
2017 - Sep,Concession,Train,2208678
2017 - Sep,Day Pass Ticket,Train,28
2017 - Sep,Day Pass Ticket,Train,174
2017 - Sep,Other,Train,284062
2017 - Sep,Free Opal,Train,30029
2017 - Sep,School Opal,Train,819372
2017 - Sep,Gold Opal,Train,2805731
2017 - Sep,Opal Single Ticket,Train,330192
2017 - Sep,Opal Single Ticket,Train,74585
2017 - Oct,Adult,Train,25069317
2017 - Oct,Child/Youth,Train,1167816
2017 - Oct,Concession,Train,2229618
2017 - Oct,Day Pass Ticket,Train,7
2017 - Oct,Day Pass Ticket,Train,73
2017 - Oct,Other,Train,285686
2017 - Oct,Free Opal,Train,30517
2017 - Oct,School Opal,Train,824499
2017 - Oct,Gold Opal,Train,2880156
2017 - Oct,Opal Single Ticket,Train,351369
2017 - Oct,Opal Single Ticket,Train,71176
2017 - Nov,Adult,Train,25763265
2017 - Nov,Child/Youth,Train,1062144
2017 - Nov,Concession,Train,1827754
2017 - Nov,Day Pass Ticket,Train,2
2017 - Nov,Other,Train,300528
2017 - Nov,Free Opal,Train,32193
2017 - Nov,School Opal,Train,1065221
2017 - Nov,Gold Opal,Train,2979774
2017 - Nov,Opal Single Ticket,Train,366190
2017 - Nov,Opal Single Ticket,Train,60053
2017 - Dec,Adult,Train,22729922
2017 - Dec,Child/Youth,Train,1423432
2017 - Dec,Concession,Train,1406927
2017 - Dec,Other,Train,254579
2017 - Dec,Free Opal,Train,26829
2017 - Dec,School Opal,Train,385688
2017 - Dec,Gold Opal,Train,2749627
2017 - Dec,Opal Single Ticket,Train,396404
2017 - Dec,Opal Single Ticket,Train,94481
2018 - Jan,Adult,Train,22118391
2018 - Jan,Child/Youth,Train,1491713
2018 - Jan,Concession,Train,1278438
2018 - Jan,Day Pass Ticket,Train,1
2018 - Jan,Other,Train,237035
2018 - Jan,Free Opal,Train,24340
2018 - Jan,School Opal,Train,80493
2018 - Jan,Gold Opal,Train,2550328
2018 - Jan,Opal Single Ticket,Train,317462
2018 - Jan,Opal Single Ticket,Train,88665
2018 - Feb,Adult,Train,23096119
2018 - Feb,Child/Youth,Train,1013582
2018 - Feb,Concession,Train,1546266
